No ID;Brand;Adresse;Code Postal;Ville
1300538;CARREFOUR MARKET;Rue De La Grosse Pierre Cc Val De S;78540;Vernouillet
1399575;INTERMARCHE;Domaine De Garode;07420;Vernoux En Vivarais
1302696;CARREFOUR;1 Rue du Fort;57420;Verny
1300967;INTERMARCHE;D 937 ZAC du Beau Pré;62131;Verquin
1398256;DIVERSE / OTHERS;Relais des MIN, RN 7;13670;Verquières
1302466;U;13 Rue des Carreaux St Sylvain d'An;49480;Verrieres en Anjou
1305099;ESSO EXPRESS;Bd du Maréchal Juin;91370;Verrières le Buisson
1352131;TOTALENERGIES;10 rue des Etats Generaux;78000;Versailles
1305109;ESSO EXPRESS;50 Rue du Pont Colbert;78000;Versailles
1303837;ESSO;60 Avenue de la Republique;78000;Versailles
1352119;TOTALENERGIES;71 Rue des Chantiers;78000;Versailles
1303437;ESSO EXPRESS;Av. Clément Ader;78000;Versailles
1351356;TOTALENERGIES;RN 12;28500;Vert en Drouais
1351346;TOTALENERGIES;RN 12 - Relais de la Couette;28500;Vert en Drouais
1302511;INTERMARCHE;8 RUE BERTHOLLET;91710;Vert Le Petit
1322193;TOTALENERGIES;A 83;44120;Vertou
1399581;INTERMARCHE;Zone Industrielle De La Briqueterie;02140;Vervins
4376533;VITO;193 Route nationale;20215;Vescovato
1399743;INTERMARCHE;1 Rue de la vaugine;70000;Vesoul
1397365;CARREFOUR;Bd Pdt Kennedy;70000;Vesoul
